Fecha,Tasa
2020-10-20,1714556
2020-10-21,1714556
2020-10-22,1694589
2020-10-23,1694589
2020-10-26,1694589
2020-10-27,1631613
2020-10-28,1631613
2020-10-29,1608056
2020-10-30,1608056
2020-11-02,1608056
2020-11-03,1622090
2020-11-04,1622090
2020-11-05,1630587
2020-11-09,1630587
2020-11-10,1622117
2020-11-11,1622117
2020-11-12,1632755
2020-11-13,1632755
2020-11-16,1632755
2020-11-17,1621113
2020-11-18,1621113
2020-11-19,1681457
2020-11-20,1681457
2020-11-24,1653196
2020-11-25,1653196
2020-11-26,1671033
2020-11-27,1671033
2020-11-30,1671033
2020-12-01,1663841
2020-12-02,1663841
2020-12-03,1689865
2020-12-04,1689865
2020-12-09,1683373
2020-12-10,1665335
2020-12-11,1665335
2020-12-14,1665335
2020-12-15,1667092
2020-12-16,1667092
2020-12-17,1657367
2020-12-18,1657367
2020-12-21,1615313
2020-12-22,1558761
2020-12-23,1633620
2020-12-28,1570513
2020-12-29,1496127
2020-12-30,1701909
2021-01-04,1701894
2021-01-05,1726967
2021-01-06,1726967
2021-01-07,1712411
2021-01-08,1712411
2021-01-11,1712411
2021-01-12,1710546
2021-01-13,1710546
2021-01-14,1707009
2021-01-15,1707009
2021-01-18,1707009
2021-01-19,1691156
2021-01-20,1691156
2021-01-21,1753849
2021-01-22,1753849
2021-01-25,1753849
2021-01-26,1746006
2021-01-27,1746006
2021-01-28,1739076
2021-01-29,1739076
2021-02-01,1739076
2021-02-02,1755303
2021-02-03,1755303
2021-02-04,1789979
2021-02-05,1789979
2021-02-08,1789979
2021-02-09,1807083
2021-02-10,1807083
2021-02-11,1855289
2021-02-12,1855289
2021-02-17,1808638
2021-02-18,1820721
2021-02-19,1820721
2021-02-22,1820721
2021-02-23,1789292
2021-02-24,1789292
2021-02-25,1812024
2021-02-26,1812024
2021-03-01,1812024
2021-03-02,1836169
2021-03-03,1836169
2021-03-04,1887890
2021-03-05,1887890
2021-03-08,1887890
2021-03-09,1899147
2021-03-10,1899147
2021-03-11,1858237
2021-03-12,1858237
2021-03-15,1858237
2021-03-16,1908310
2021-03-17,1908310
2021-03-18,1912629
2021-03-19,1912629
2021-03-22,1912629
2021-03-23,1936074
2021-03-25,1901543
2021-03-26,1901543
2021-03-29,1901543
2021-03-30,1891864
2021-03-31,1820218
2021-04-05,1820218
2021-04-06,1900712
2021-04-07,1900712
2021-04-08,1925568
2021-04-09,1925568
2021-04-12,1925568
2021-04-13,1953946
2021-04-14,1953946
2021-04-15,2018983
2021-04-16,2018983
2021-04-19,2018983
2021-04-20,2025457
2021-04-21,2025457
2021-04-22,2005289
2021-04-23,2005289
2021-04-26,2005289
2021-04-27,1987396
2021-04-28,1987396
2021-04-29,2095704
2021-04-30,2095704
2021-05-03,2095704
2021-05-04,2078964
2021-05-05,2078964
2021-05-06,2090181
2021-05-07,2090181
2021-05-10,2090181
2021-05-11,2078803
2021-05-12,2078803
2021-05-13,2040777
2021-05-14,2040777
2021-05-17,2040777
2021-05-18,2034844
2021-05-19,2034844
2021-05-20,2042875
2021-05-21,2042875
2021-05-26,2022058
2021-05-27,1983104
2021-05-28,1983104
2021-05-31,1983104
2021-06-01,1919251
2021-06-02,1919251
2021-06-03,2050067
2021-06-04,2050067
2021-06-07,2050067
2021-06-08,2010081
2021-06-09,2010081
2021-06-10,2070131
2021-06-11,2070131
2021-06-14,2070131
2021-06-15,2055131
2021-06-16,2055131
2021-06-17,2063022
2021-06-18,2063022
2021-06-22,2024307
2021-06-23,2024307
2021-06-24,2015293
2021-06-25,2015293
2021-06-28,2015293
2021-06-29,2019256
2021-06-30,2019256
2021-07-01,1948790
2021-07-02,1948790
2021-07-05,1948790
2021-07-06,2029739
2021-07-07,2029739
2021-07-08,2034996
2021-07-12,2034996
2021-07-13,2032588
2021-07-14,2032588
2021-07-15,2033929
2021-07-16,2033929
2021-07-19,2033929
2021-07-20,2023461
2021-07-21,2023461
2021-07-22,2008449
2021-07-23,2008449
2021-07-26,2008449
2021-07-27,2036661
2021-07-28,2036661
2021-07-29,2015279
2021-07-30,2015279
2021-08-02,2015279
2021-08-03,1994330
2021-08-04,1994330
2021-08-05,2047896
2021-08-06,2047896
2021-08-09,2047896
2021-08-10,2087223
2021-08-11,2087223
2021-08-12,2120450
2021-08-13,2120450
2021-08-17,2100450
2021-08-18,2100450
2021-08-19,2094188
2021-08-20,2094188
2021-08-23,2094188
2021-08-24,2114947
2021-08-25,2114947
2021-08-26,2082767
2021-08-27,2082767
2021-08-30,2082767
2021-08-31,2102931
2021-09-01,2102931
2021-09-02,2084863
2021-09-03,2084863
2021-09-06,2084863
2021-09-07,2113632
2021-09-08,2113632
2021-09-09,2089394
2021-09-10,2089394
2021-09-13,2089394
2021-09-14,2179129
2021-09-15,2179222
2021-09-16,2153713
2021-09-17,2153713
2021-09-20,2153713
2021-09-21,2199014
2021-09-22,2199014
2021-09-23,2171253
2021-09-24,2171253
2021-09-27,2171253
2021-09-28,2141089
2021-09-29,2141089
2021-09-30,2022725
2021-10-01,2022725
2021-10-04,2022725
2021-10-05,1987036
2021-10-06,1987036
2021-10-07,2134871
2021-10-12,2214765
2021-10-13,2214765
2021-10-14,2184765
2021-10-15,2184765
2021-10-18,2184765
2021-10-19,2218374
2021-10-20,2218374
2021-10-21,2237319
2021-10-22,2237319
2021-10-25,2237319
2021-10-26,2207319
2021-10-27,2207319
2021-10-28,2158706
2021-10-29,2158706
2021-11-01,2158706
2021-11-02,2204178
2021-11-03,2204178
2021-11-04,2159393
2021-11-05,2159393
2021-11-08,2159393
2021-11-09,2058172
2021-11-10,2058172
2021-11-11,2075154
2021-11-12,2075154
2021-11-15,2075154
2021-11-16,2111854
2021-11-17,2111854
2021-11-18,2080671
2021-11-19,2080671
2021-11-23,2140172
2021-11-24,2140172
2021-11-25,2104988
2021-11-26,2104988
2021-11-29,2104988
2021-11-30,2262507
2021-12-01,2262507
2021-12-02,2277572
2021-12-03,2277572
2021-12-06,2277572
2021-12-07,2261332
2021-12-09,2260997
2021-12-10,2260997
2021-12-13,2260997
2021-12-14,2110665
2021-12-15,2110665
2021-12-16,2088393
2021-12-17,2088393
2021-12-20,2088393
2021-12-21,2048610
2021-12-22,2048610
2021-12-23,2100612
2021-12-27,2100612
2021-12-28,1965455
2021-12-29,1965455
2021-12-30,1834157
2022-01-03,1834157
2022-01-04,2042831
2022-01-05,2042831
2022-01-06,1955042
2022-01-07,1955042
2022-01-10,1955042
2022-01-11,2678938
2022-01-12,2678938
2022-01-13,2951032
2022-01-14,2951032
2022-01-17,2951032
2022-01-18,3290120
2022-01-19,3290120
2022-01-20,3481604
2022-01-21,3481604
2022-01-24,3481604
2022-01-25,3558131
2022-01-26,3558131
2022-01-27,3631934
2022-01-28,3631934
2022-01-31,3631934
2022-02-01,3575103
2022-02-02,3575103
2022-02-03,3783317
2022-02-04,3783317
